Date,Exchange Country Region, Benchmark ICB Supersector ,rows,median_abs_neutral_diff,p90_abs_neutral_diff,max_abs_neutral_diff,neutral_corr
2026-06-30,Asia,7.0,6,1.6666666666666665,3.333333333333334,3.333333333333334,0.7142857142857142
2026-06-30,North America,3.0,9,1.1111111111111107,2.4444444444444455,3.333333333333334,0.8666666666666668
2026-06-30,Asia,6.0,6,1.6666666666666663,2.5,3.3333333333333335,0.7714285714285715
2026-06-30,West Europe,13.0,13,0.7692307692307692,2.3076923076923084,3.0769230769230775,0.8736263736263736
2026-06-30,West Europe,14.0,10,1.0,3.0,3.0,0.7939393939393938
2026-06-30,Asia,10.0,7,1.4285714285714288,2.0000000000000004,2.8571428571428568,0.857142857142857
2026-06-30,Asia,14.0,7,1.4285714285714288,2.8571428571428568,2.8571428571428568,0.7857142857142858
2026-06-30,West Europe,4.0,11,0.9090909090909083,2.7272727272727266,2.7272727272727284,0.8909090909090908
2026-06-30,West Europe,2.0,37,1.0810810810810811,2.0000000000000004,2.7027027027027026,0.8928402086296824
2026-06-30,Asia,2.0,8,0.625,2.5,2.5,0.880952380952381
2026-06-30,West Europe,12.0,15,0.666666666666667,2.000000000000001,2.0000000000000018,0.9249999999999999
2026-06-30,Asia,3.0,5,0.0,2.0,2.0,0.8999999999999998
2026-06-30,Asia,17.0,5,0.0,2.0,2.0,0.8999999999999998
2026-06-30,Pacific,14.0,5,2.0,2.0,2.0,0.7999999999999999
2026-06-30,North America,1.0,6,1.666666666666666,1.6666666666666665,1.6666666666666665,0.8285714285714286
2026-06-30,West Europe,11.0,6,0.0,0.0,0.0,1.0
