market,version,candidate_id,component,bucket,weight
eu-small,old,eu_small_syn_subset_eba89b8a51,Oper Margin directional_delta lag3,quality_improvement,0.08333333333333333
eu-small,old,eu_small_syn_subset_eba89b8a51,ROE avg FY0 directional_delta lag1,quality_improvement,0.08333333333333333
eu-small,old,eu_small_syn_subset_eba89b8a51,ROE avg FY0 directional_delta lag3,quality_improvement,0.08333333333333333
eu-small,old,eu_small_syn_subset_8cd5bfe02a,momentum: EPS Revision Ratio,revision,0.3333333333333333
eu-small,old,eu_small_syn_subset_8cd5bfe02a,EV To EBITDA NTM directional_delta lag1,value_improvement,0.1111111111111111
eu-small,old,eu_small_syn_subset_8cd5bfe02a,NetDebt to EBITDA exFIN directional_delta lag1,deleveraging,0.1111111111111111
eu-small,old,eu_small_syn_subset_8cd5bfe02a,NetDebt to EBITDA exFIN score_delta lag1,deleveraging,0.1111111111111111
eu-small,old,eu_small_syn_subset_8cd5bfe02a,NetDebt to EBITDA exFIN score_delta lag3,deleveraging,0.1111111111111111
eu-small,old,eu_small_syn_subset_8cd5bfe02a,PB LTM directional_delta lag1,value_improvement,0.1111111111111111
eu-small,old,eu_small_syn_subset_8cd5bfe02a,PB LTM directional_delta lag3,value_improvement,0.1111111111111111
eu-small,old,eu_small_syn_pair_674e67cd8d37,NetDebt to EBITDA exFIN score_delta lag1,NetDebt to EBITDA exFIN score_delta lag1,0.5
eu-small,old,eu_small_syn_pair_674e67cd8d37,Oper Margin directional_delta lag1,Oper Margin directional_delta lag1,0.5
eu-small,old,eu_small_syn_loo_without_value_improvement,Daily Vol 260J score_delta lag12,risk_decline,0.14285714285714285
eu-small,old,eu_small_syn_loo_without_value_improvement,growth: EPS Growth FY1,growth,0.14285714285714285
eu-small,old,eu_small_syn_loo_without_value_improvement,momentum: EPS Revision Ratio,revision,0.14285714285714285
eu-small,old,eu_small_syn_loo_without_value_improvement,momentum: PMOM 12M1M,pmom,0.14285714285714285
eu-small,old,eu_small_syn_loo_without_value_improvement,Earns Yield FY1 score_delta lag1,earnings_yield_improvement,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_value_improvement,Earns Yield NTM directional_delta lag1,earnings_yield_improvement,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_value_improvement,Earns Yield NTM score_delta lag1,earnings_yield_improvement,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_value_improvement,NetDebt to EBITDA exFIN directional_delta lag1,deleveraging,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_value_improvement,NetDebt to EBITDA exFIN score_delta lag1,deleveraging,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_value_improvement,NetDebt to EBITDA exFIN score_delta lag3,deleveraging,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_value_improvement,Oper Margin directional_delta lag1,quality_improvement,0.03571428571428571
eu-small,old,eu_small_syn_loo_without_value_improvement,Oper Margin directional_delta lag3,quality_improvement,0.03571428571428571
eu-small,old,eu_small_syn_loo_without_value_improvement,ROE avg FY0 directional_delta lag1,quality_improvement,0.03571428571428571
eu-small,old,eu_small_syn_loo_without_value_improvement,ROE avg FY0 directional_delta lag3,quality_improvement,0.03571428571428571
eu-small,old,eu_small_syn_pair_5c2034907e5f,NetDebt to EBITDA exFIN directional_delta lag1,NetDebt to EBITDA exFIN directional_delta lag1,0.5
eu-small,old,eu_small_syn_pair_5c2034907e5f,Oper Margin directional_delta lag3,Oper Margin directional_delta lag3,0.5
eu-small,old,eu_small_validated_loo_growth,dividend: DPS 1Y Growth FY1,eu_small_validated_dividend,0.08333333333333333
eu-small,old,eu_small_validated_loo_growth,dividend: DVD Yield FY1,eu_small_validated_dividend,0.08333333333333333
eu-small,old,eu_small_validated_loo_growth,dividend: DVD Yield NTM,eu_small_validated_dividend,0.08333333333333333
eu-small,old,eu_small_validated_loo_growth,momentum: EPS Revision Ratio,eu_small_validated_momentum,0.125
eu-small,old,eu_small_validated_loo_growth,momentum: PMOM 12M1M,eu_small_validated_momentum,0.125
eu-small,old,eu_small_validated_loo_growth,quality: NetDebt to EBITDA exFIN,eu_small_validated_quality,0.08333333333333333
eu-small,old,eu_small_validated_loo_growth,quality: Oper Margin,eu_small_validated_quality,0.08333333333333333
eu-small,old,eu_small_validated_loo_growth,quality: ROE avg FY0,eu_small_validated_quality,0.08333333333333333
eu-small,old,eu_small_validated_loo_growth,value: Earns Yield FY1,eu_small_validated_value,0.08333333333333333
eu-small,old,eu_small_validated_loo_growth,value: Earns Yield NTM,eu_small_validated_value,0.08333333333333333
eu-small,old,eu_small_validated_loo_growth,value: PFCF LTM,eu_small_validated_value,0.08333333333333333
eu-small,old,eu_small_syn_subset_693104f7b4,momentum: EPS Revision Ratio,revision,0.5
eu-small,old,eu_small_syn_subset_693104f7b4,Oper Margin directional_delta lag1,quality_improvement,0.125
eu-small,old,eu_small_syn_subset_693104f7b4,Oper Margin directional_delta lag3,quality_improvement,0.125
eu-small,old,eu_small_syn_subset_693104f7b4,ROE avg FY0 directional_delta lag1,quality_improvement,0.125
eu-small,old,eu_small_syn_subset_693104f7b4,ROE avg FY0 directional_delta lag3,quality_improvement,0.125
eu-small,old,eu_small_syn_loo_without_deleveraging,Daily Vol 260J score_delta lag12,risk_decline,0.14285714285714285
eu-small,old,eu_small_syn_loo_without_deleveraging,growth: EPS Growth FY1,growth,0.14285714285714285
eu-small,old,eu_small_syn_loo_without_deleveraging,momentum: EPS Revision Ratio,revision,0.14285714285714285
eu-small,old,eu_small_syn_loo_without_deleveraging,momentum: PMOM 12M1M,pmom,0.14285714285714285
eu-small,old,eu_small_syn_loo_without_deleveraging,EV To EBITDA NTM directional_delta lag1,value_improvement,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_deleveraging,Earns Yield FY1 score_delta lag1,earnings_yield_improvement,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_deleveraging,Earns Yield NTM directional_delta lag1,earnings_yield_improvement,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_deleveraging,Earns Yield NTM score_delta lag1,earnings_yield_improvement,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_deleveraging,PB LTM directional_delta lag1,value_improvement,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_deleveraging,PB LTM directional_delta lag3,value_improvement,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_deleveraging,Oper Margin directional_delta lag1,quality_improvement,0.03571428571428571
eu-small,old,eu_small_syn_loo_without_deleveraging,Oper Margin directional_delta lag3,quality_improvement,0.03571428571428571
eu-small,old,eu_small_syn_loo_without_deleveraging,ROE avg FY0 directional_delta lag1,quality_improvement,0.03571428571428571
eu-small,old,eu_small_syn_loo_without_deleveraging,ROE avg FY0 directional_delta lag3,quality_improvement,0.03571428571428571
