Date,Company SEDOL,return,abs_return,severity,reason,review_status,suggested_action,reviewer,review_notes,approved_action,corrected_return
2024-11-19,PK77G8-R,1.0059382915496826,1.0059382915496826,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2014-10-01,GM3PSR-R,1.0058751106262207,1.0058751106262207,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2009-03-20,VS1X41-R,1.005777359008789,1.005777359008789,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-11-04,CB1HZ7-R,1.0056560039520264,1.0056560039520264,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2017-05-23,H46TW9-R,1.0056519508361816,1.0056519508361816,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2019-08-13,GM3PSR-R,1.0055418014526367,1.0055418014526367,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-01-17,V05L58-R,1.0049773454666138,1.0049773454666138,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-01-01,T7HRLL-R,1.004925012588501,1.004925012588501,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-12-31,T7HRLL-R,1.004925012588501,1.004925012588501,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2017-11-07,H46TW9-R,1.0048472881317139,1.0048472881317139,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-04-22,K8YRNT-R,1.0046970844268799,1.0046970844268799,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2017-02-08,H46TW9-R,1.0045969486236572,1.0045969486236572,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-11-10,WYJMZH-R,1.0045035,1.0045035,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-01-23,H6ZV58-R,1.0042316913604736,1.0042316913604736,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-07-16,FQDXKG-R,1.0041210651397705,1.0041210651397705,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-10-06,GYM5PB-R,1.0040967464447021,1.0040967464447021,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2011-12-05,W169HX-R,1.0039432048797607,1.0039432048797607,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-11-13,XLCZT6-R,1.0037771463394165,1.0037771463394165,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-02-21,MBLWWK-R,1.003730297088623,1.003730297088623,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2023-12-04,T7HRLL-R,1.0036983489990234,1.0036983489990234,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2026-02-24,PLYP01-R,1.0036523342132568,1.0036523342132568,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-06-26,L93LBV-R,1.0036511421203613,1.0036511421203613,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2020-05-25,J3VSJP-R,1.0036351680755615,1.0036351680755615,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
